date,city,salesperson,customername,carmake,carmodel,caryear,saleprice,commissionrate,commisionearned
9/3/2019,Omaha,Layla Sanchez,Casey Seamans,Ford,E250,1984,48436,0.145439,7044.483404
5/11/2019,Jacksonville,Julian Cooper,Lon Gerardet,GMC,Vandura 2500,1994,45398,0.101453,4605.763294
10/22/2023,Phoenix,Brooklyn Patterson,Clayson Johnsson,Chevrolet,Cobalt,2005,47871,0.126753,6067.792863
10/26/2024,Denver,Noah Davis,Marlene Milberry,Cadillac,DTS,2006,22238,0.120748,2685.194024
7/28/2023,New Orleans,Zoey Martinez,Lonee Dener,Mazda,Familia,1985,47271,0.095129,4496.842959
7/13/2021,Long Beach,Joseph Green,Reinhard Grinsdale,GMC,Sonoma Club Coupe,1998,27402,0.076301,2090.800002
9/3/2018,Oklahoma City,Caleb Price,Brocky Schoales,Kia,Sedona,2009,16091,0.137088,2205.883008
9/13/2022,Washington,Ellie Reed,Millie Blazejewski,Infiniti,QX56,2009,13969,0.098464,1375.443616
9/15/2020,Charlotte,Lucy Brown,Vanessa Neillans,MINI,Clubman,2009,47371,0.111909,5301.241239
6/7/2024,Fort Worth,Olivia Price,Georgeta Cawthra,Mitsubishi,Mighty Max,1992,47791,0.130805,6251.301755
4/14/2024,Mesa,Elijah Torres,Camey Tunnoch,Isuzu,Amigo,1992,26475,0.057271,1516.249725
1/29/2025,Seattle,Amelia Gonzalez,Noelani Robiot,Toyota,Tundra,2010,19380,0.114486,2218.73868
8/21/2024,Denver,Owen Barnes,Gnni Warin,Chrysler,New Yorker,1993,32507,0.144145,4685.721515
12/21/2019,Detroit,Jacob Lee,Oliy Rubertis,Mazda,929,1993,21527,0.111791,2406.524857
11/17/2020,Dallas,Amelia Moore,Eddy Cawthra,Ford,F150,2003,20878,0.106386,2221.126908
6/8/2019,Louisville,Emma Adams,Dallon Docharty,Bentley,Continental GT,2012,13610,0.119165,1621.83565
11/15/2018,Tampa,Matthew Cooper,Rosalyn Leatham,Volvo,S60,2013,44955,0.134844,6061.91202
5/21/2019,Detroit,Stella Campbell,Alfonso O'Criane,Acura,ZDX,2011,34969,0.128443,4491.523267
7/19/2024,Chicago,Samuel Nelson,Agosto Wickham,Toyota,Paseo,1992,38282,0.093232,3569.107424
6/14/2022,El Paso,Abigail Davis,Kelly Philipsohn,Maserati,Karif,1990,43819,0.08519,3732.94061
8/18/2024,Tucson,Benjamin Ramirez,Vita Shutte,GMC,Rally Wagon 2500,1993,47247,0.094666,4472.684502
6/12/2019,San Francisco,Michael Jones,Samuel Soots,Volkswagen,Cabriolet,1989,44686,0.111441,4979.852526
12/28/2022,Oklahoma City,Aurora Young,Jacinda Tupper,Pontiac,Tempest,1961,33896,0.105508,3576.299168
10/21/2018,Kansas City,Stella Campbell,Otes Gorriessen,Saturn,Ion,2007,45288,0.137473,6225.877224
2/22/2021,Atlanta,Hannah Anderson,Mireille Burgne,Audi,A7,2012,17782,0.132577,2357.484214
6/6/2020,Boston,Chloe Williams,Norton Leighton,Saturn,Ion,2006,33900,0.126429,4285.9431
4/15/2021,Tucson,Lucy Hill,Davidson Coatsworth,Lexus,LS,2012,41599,0.108261,4503.549339
6/13/2023,San Diego,Stella Reed,Erna Copozio,Suzuki,Esteem,2000,43190,0.068525,2959.59475
6/2/2018,Houston,Lily Allen,Idelle Matyashev,Volvo,850,1997,20591,0.131612,2710.022692
6/3/2020,Denver,David Brown,Adolpho Amps,Volkswagen,Golf,1987,35748,0.134973,4825.014804
9/6/2018,Arlington,Mia Wilson,Pierce Sellors,Chevrolet,Metro,2001,15060,0.103794,1563.13764
7/26/2024,Las Vegas,David Scott,Ilka Purcer,Ford,Edge,2011,15766,0.09817,1547.74822
2/28/2019,Dallas,Layla Hill,Hasheem Budgey,Volkswagen,Corrado,1994,40691,0.130297,5301.915227
11/4/2019,Tampa,Lucy Lewis,Brita Loidl,Lexus,LX,1997,14891,0.103365,1539.208215
5/7/2018,New York,Emma Clark,Licha Marham,GMC,Savana 1500,2009,10411,0.137912,1435.801832
10/5/2021,Atlanta,Harper Ward,Kalindi Lowten,GMC,Jimmy,1999,13707,0.056063,768.455541
10/11/2020,Nashville,David Scott,Kasper Lockner,Audi,100,1991,15669,0.091914,1440.200466
9/14/2018,Chicago,Lily Price,Cathrine Orme,Mercedes-Benz,S-Class,1992,45259,0.051392,2325.950528
8/14/2023,Louisville,Penelope White,Gregory Jakubowski,Infiniti,M,2008,30953,0.113979,3527.991987
3/18/2024,Portland,Chloe Hall,Ulysses Baggally,Ford,F-Series,1990,20590,0.1361,2802.299
10/20/2020,Miami,Alexander Kelly,Deny Gandy,Toyota,Sequoia,2011,27877,0.103703,2890.928531
9/29/2018,Milwaukee,David Scott,Margarita Beernaert,Mazda,626,2000,46665,0.064944,3030.61176
9/18/2024,San Diego,Victoria Bailey,Fonsie O' Mulderrig,Suzuki,Daewoo Lacetti,2007,46741,0.104672,4892.473952
3/25/2019,Detroit,Thomas Diaz,Daune West,Maserati,Coupe,2006,33573,0.085129,2858.035917
3/19/2025,Nashville,Caleb Martin,Whitman MacIlwrick,Dodge,Omni,1978,22959,0.053648,1231.704432
8/5/2022,Portland,David Scott,Gery Cardoso,Mercedes-Benz,E-Class,2012,49551,0.142115,7041.940365
2/4/2025,New Orleans,Michael Brown,Barbara Masham,Lotus,Esprit,1999,44387,0.12779,5672.21473
5/17/2021,Washington,Natalie Cox,Bronny Ors,Dodge,Intrepid,2002,15741,0.134511,2117.337651
4/22/2023,Nashville,Isaac Kelly,Anya Dacombe,Volkswagen,GTI,2010,37159,0.098959,3677.217481
8/16/2024,Seattle,Victoria Brooks,Palmer Netting,Panoz,Esperante,2006,38743,0.086395,3347.201485
8/20/2020,Phoenix,Ellie Diaz,Carrol Munkton,Nissan,Versa,2012,36371,0.074112,2695.527552
6/29/2020,Long Beach,Abigail Thompson,Daphna Bugge,Saturn,S-Series,1995,33735,0.120039,4049.515665
8/5/2021,Nashville,Michael Richardson,Ches Clowsley,Ford,Excursion,2005,43795,0.108256,4741.07152
10/28/2020,Los Angeles,Chloe Williams,Conant Chmiel,Mazda,MPV,1996,10900,0.148723,1621.0807
2/4/2022,Colorado Springs,Benjamin Sanchez,Thomas Osichev,Chevrolet,G-Series 1500,1996,21691,0.095641,2074.548931
1/28/2021,Oakland,Jacob Davis,Addi Brecon,Volkswagen,Type 2,1986,13759,0.090128,1240.071152
11/5/2020,San Diego,Samuel Rodriguez,Chloette Paulig,Buick,LeSabre,1993,18646,0.095921,1788.542966
5/13/2018,Omaha,Ellie Reed,Alexi Chellingworth,GMC,Vandura G2500,1995,30434,0.086441,2630.745394
8/18/2018,Long Beach,Abigail Brown,Halli Rodenburgh,Toyota,Avalon,2004,15833,0.082089,1299.715137
8/14/2018,Louisville,Caleb Brown,Hilda Brockway,Kia,Sedona,2009,25979,0.070165,1822.816535
8/21/2020,Denver,Olivia Price,Dierdre McIllrick,Eagle,Talon,1996,32207,0.148612,4786.346684
11/15/2019,San Antonio,Jacob Barnes,Noelle Slee,Saturn,S-Series,1993,17451,0.135675,2367.664425
1/2/2021,Miami,Alexander Thompson,Pail Carayol,Mercury,Mountaineer,2006,20791,0.071649,1489.654359
3/4/2019,Fresno,Abigail Thompson,Melissa Janson,Scion,tC,2007,14725,0.143121,2107.456725
10/5/2022,Chicago,Nora Flores,Haley Vidgen,Lincoln,MKZ,2011,29329,0.130872,3838.344888
10/1/2021,Columbus,Liam Davis,Dougy Yukhov,Daewoo,Lanos,2002,14279,0.112356,1604.331324
8/2/2022,El Paso,Sophia Hall,Nevins Duhig,Land Rover,Freelander,2001,40149,0.083493,3352.160457
10/27/2019,Oklahoma City,Thomas Bailey,Leigh Rosendall,Mercedes-Benz,C-Class,1995,18897,0.094316,1782.289452
1/26/2023,Louisville,Scarlett Johnson,Neilla Wilbud,BMW,3 Series,2008,37138,0.080227,2979.470326
12/11/2022,Long Beach,Lily Allen,Washington Panting,Infiniti,G,1995,14174,0.089413,1267.339862
3/4/2020,Miami,Nora Flores,Marcia Flitcroft,Mercedes-Benz,C-Class,2002,25631,0.091574,2347.133194
7/12/2019,Colorado Springs,Victoria Taylor,Philis Kilgallon,Lincoln,LS,2002,43081,0.057992,2498.353352
7/27/2019,Tucson,Amelia Moore,Marthe Briat,Alfa Romeo,164,1994,42586,0.061876,2635.051336
3/18/2019,Tucson,Henry Patterson,Giacobo Brambell,Acura,MDX,2012,35300,0.065067,2296.8651
12/19/2019,Albuquerque,Lily Barnes,Gertruda Pinfold,Lexus,IS,2006,11289,0.070694,798.064566
10/1/2018,Arlington,Jacob Nelson,Coleman Eakin,Buick,Riviera,1987,11224,0.097546,1094.856304
7/14/2020,Columbus,Harper Ward,Dale Frow,Acura,MDX,2007,17475,0.079542,1389.99645
10/3/2023,Jacksonville,Alexander White,Cleveland Kedwell,Acura,CL,2003,47473,0.119393,5667.943889
9/13/2018,Houston,Daniel Sanchez,Corrie Ponter,Volkswagen,rio,1997,25947,0.072951,1892.859597
8/15/2018,Charlotte,Matthew Clark,Marla Ciciotti,Mazda,B-Series,1987,44518,0.056795,2528.39981
5/2/2018,El Paso,Grace Sanchez,Eddy Parramore,Porsche,924,1988,22215,0.13364,2968.8126
6/2/2023,Los Angeles,Henry Patterson,Cheri Stellin,Chrysler,Grand Voyager,2000,25109,0.126686,3180.958774
8/2/2020,Fresno,Gabriel Williams,Kessia Lewer,Pontiac,Aztek,2005,44682,0.137696,6152.532672
6/17/2021,San Diego,Matthew Taylor,Corey Pockett,Chevrolet,Cavalier,1998,49624,0.065291,3240.000584
6/20/2020,Long Beach,Stella Reed,Faustina Shenfish,Mazda,Miata MX-5,2005,19953,0.128102,2556.019206
10/7/2018,Denver,Benjamin Kelly,Trenton Caret,Audi,A6,2007,18834,0.067181,1265.286954
10/23/2019,Nashville,Samuel Adams,Denny Andreas,Isuzu,Rodeo Sport,2002,28218,0.100744,2842.794192
9/3/2018,Houston,Noah Davis,Belvia Beefon,Lexus,RX,2005,20589,0.081508,1678.168212
9/28/2019,San Francisco,Benjamin Thompson,Zonda Bridgens,Nissan,Frontier,2006,23571,0.123518,2911.442778
12/19/2019,Los Angeles,Benjamin Ramirez,Terrye Gobel,Volkswagen,Golf III,1995,32656,0.132142,4315.229152
2/28/2025,Albuquerque,Emma Clark,Vern Whaymand,Mitsubishi,Montero Sport,2002,43796,0.080496,3525.402816
3/28/2020,Tampa,Mia Moore,Adelheid Ridde,Nissan,Murano,2006,11186,0.084017,939.814162
6/16/2019,Philadelphia,Stella Reed,Christoper Crowdy,Chrysler,Cirrus,2000,16647,0.106526,1773.338322
1/21/2024,Boston,Penelope Cox,Eugine Balstone,Land Rover,LR2,2012,32719,0.127348,4166.699212
5/2/2019,Milwaukee,Elijah Torres,Sayre Elph,Dodge,Viper RT/10,1993,42970,0.090598,3892.99606
6/17/2020,Sacramento,Victoria Brooks,Winnie Neenan,Audi,A3,2007,41337,0.073258,3028.265946
10/12/2023,Indianapolis,Grace Lewis,Konstantin Redley,Hyundai,Elantra,2004,37367,0.052209,1950.893703
9/13/2018,Mesa,Ethan Cooper,Shoshana Shaddick,Cadillac,STS,2005,44394,0.149429,6633.751026
9/17/2019,Albuquerque,Julian Cooper,Abran Dignall,Ford,Focus,2002,13698,0.074133,1015.473834
10/24/2020,New Orleans,Gabriel Cooper,Drusilla Pengilly,Toyota,RAV4,1998,13793,0.113603,1566.926179
10/24/2020,Atlanta,Benjamin Torres,My Castello,Hyundai,Sonata,2002,29163,0.077198,2251.325274
4/6/2025,Kansas City,Zoey Torres,Gladys Reinmar,Audi,200,1989,30196,0.13304,4017.27584
3/12/2021,Oklahoma City,Ellie Gonzalez,Sonja Poynser,Land Rover,Freelander,2011,28760,0.10159,2921.7284
11/16/2020,San Antonio,Charlotte Garcia,Kaia Muriel,Dodge,Dakota,2011,18451,0.111712,2061.198112
11/15/2021,Fort Worth,Ellie Gonzalez,Violette Gawkes,Suzuki,Swift,1988,14559,0.109477,1593.875643
4/23/2022,Tampa,Jackson Robinson,Cordell Kendrew,Hummer,H1,2004,20010,0.149058,2982.65058
10/15/2018,Omaha,Thomas Hernandez,Charissa Hollingsby,Hummer,H1,1998,13271,0.088,1167.848
11/26/2018,Fresno,Alexander Thompson,Steward Follett,Dodge,Sprinter,2008,35477,0.1472,5222.2144
12/10/2023,Baltimore,Thomas Diaz,Danya Guttridge,Chevrolet,Corvette,1988,39740,0.08477,3368.7598
1/12/2022,Atlanta,Matthew Taylor,Lyndy Lampett,GMC,Sierra 3500,2007,46455,0.099508,4622.64414
2/25/2025,Arlington,Charlotte Garcia,Ingeberg Goreway,Porsche,924 S,1987,11744,0.069842,820.224448
3/4/2025,Fort Worth,Sebastian King,Tremayne Skells,Lincoln,Town Car,1995,20800,0.106534,2215.9072
11/23/2020,Albuquerque,Natalie Harris,Griffith Matteotti,Toyota,Previa,1993,28586,0.136632,3905.762352
7/4/2024,Denver,Daniel Sanchez,Temp Ivimy,Honda,S2000,2003,16630,0.057341,953.58083
3/23/2020,Atlanta,Noah Davis,Tammy Awin,Mitsubishi,3000GT,1998,18097,0.111341,2014.938077
5/9/2020,Memphis,Harper Martin,Greer Chotty,Infiniti,EX,2012,46582,0.111888,5211.966816
3/2/2024,Albuquerque,Henry Lee,Maryjane Sifflett,Ford,F-Series,1992,22195,0.129049,2864.242555
5/14/2019,Columbus,David Perez,Alphonso Fessions,Dodge,Neon,2002,24382,0.088416,2155.758912
5/9/2021,San Jose,Samuel Nelson,Kary Mancell,Mercury,Cougar,1988,35843,0.112438,4030.115234
10/8/2024,Phoenix,Aurora Young,Teirtza Spours,Ford,Contour,1996,35407,0.123316,4366.249612
9/26/2022,Milwaukee,Aurora Reed,Danyette Lindup,Nissan,Quest,2011,40766,0.06216,2534.01456
5/2/2019,Chicago,Layla Gonzalez,Denys Scoggan,Cadillac,CTS,2006,11096,0.077629,861.371384
8/17/2021,Fort Worth,Ellie Davis,Kacey Aykroyd,Toyota,Tacoma Xtra,1996,46059,0.099001,4559.887059
3/5/2020,Arlington,Nora White,Eward Allsworth,Buick,Century,2001,37917,0.140312,5320.210104
7/2/2023,Boston,Alexander Thompson,Wallache Brecknall,Buick,Regal,1995,36509,0.102,3723.918
6/29/2021,San Jose,Lily Barnes,Trescha Ord,Subaru,Justy,1987,47013,0.114951,5404.191363
10/29/2020,Houston,Sebastian Flores,Gabrielle Yepiskopov,Suzuki,Grand Vitara,2003,19202,0.08718,1674.03036
8/23/2021,Oakland,Matthew Clark,Gilberto Frawley,Mercedes-Benz,C-Class,1993,27469,0.126064,3462.852016
9/30/2018,Nashville,Daniel Jackson,Gasparo Henworth,Chevrolet,Camaro,1993,21932,0.083984,1841.937088
4/17/2024,Mesa,Elijah Torres,Nathanil Alster,Ford,Expedition,2006,49895,0.126295,6301.489025
12/24/2023,Memphis,Sophia Miller,Pancho Allbones,Pontiac,G3,2009,44228,0.100272,4434.830016
9/10/2023,Austin,Benjamin Kelly,Delora Charlotte,Honda,Odyssey,2001,43637,0.107057,4671.646309
6/3/2018,New Orleans,Samuel Adams,Hobey Shipston,Acura,TL,2004,18606,0.083757,1558.382742
8/22/2023,Sacramento,Caleb Perez,Odetta Saxby,Chrysler,Pacifica,2007,28007,0.134326,3762.068282
12/18/2024,New York,Alexander Thompson,Baird Attaway,Mitsubishi,Lancer,2012,31346,0.14361,4501.59906
3/31/2022,Detroit,Henry Patterson,Perle Kuhnke,Bentley,Continental Flying Spur,2009,26243,0.101539,2664.687977
3/12/2022,Phoenix,Thomas Diaz,Maximo Gyngell,Lincoln,Mark VIII,1993,31032,0.075649,2347.539768
7/23/2024,Tucson,Benjamin Kelly,Wynne Novik,Cadillac,Escalade ESV,2006,47778,0.105363,5034.033414
11/21/2018,Los Angeles,Harper Sanchez,Brent Pea,Mazda,Mazdaspeed6,2006,34446,0.102479,3529.991634
2/27/2023,Tulsa,Layla Thomas,Melantha Middlehurst,Nissan,Versa,2010,48441,0.080933,3920.475453
8/20/2018,Virginia Beach,Sophia Hall,Karim Skeemor,Suzuki,XL-7,2004,49646,0.099306,4930.145676
2/25/2025,Jacksonville,Mia Wilson,Coriss Guillart,Ford,F150,1993,49780,0.09132,4545.9096
3/17/2019,Arlington,Carter Rivera,Cynthea Buard,Subaru,Justy,1990,16640,0.128084,2131.31776
9/24/2022,Denver,Anthony Ramirez,Cass Ben,Mercury,Lynx,1984,39263,0.06922,2717.78486
2/17/2020,Denver,Caleb Perez,Chancey Frobisher,Toyota,Xtra,1994,16201,0.065264,1057.342064
